newpid,exchange,beta1,abs_ret_se,beta2,pos_se,beta3,interact_se,abs_ret_pval,pos_pval,interact_pval,r2_w,r2_b,r2_o,rho,n_panels,avg_dates,total_obs,beta1_flag,beta2_flag,beta3_flag,summation,freq
++-,coinmate,.089534223,.015433494,.12515846,.030955169,-.16351075,.012022267,9.2898908e-06,.00058596506,6.9996769e-12,.026246905,.043792769,.02609174,.017062673,22,1239,27258,+,+,-,-.073976532,19
++-,timex,.24975576,.035451543,.47108328,.13194229,-.314917,.039572045,5.8193605e-06,.003074022,1.4557739e-06,.056783397,.20880455,.061042171,.062495437,15,958.33331,14375,+,+,-,-.065161243,19
++-,btcalpha,.059999652,.019634349,.31507522,.12904471,-.15132792,.035026919,.0039369017,.019024983,.000096615353,.011633426,.36529261,.0097583793,.4823969,42,469.07144,19701,+,+,-,-.091328271,19
++-,coinfield,.054293409,.0074261115,.13607889,.02356673,-.075285837,.0086493297,1.2869954e-09,3.9152684e-07,7.3231456e-12,.0042691585,.18867227,.0037246069,.92088467,55,1247.1637,68594,+,+,-,-.020992428,19
++-,btctradeua,.58018428,.059785064,.71758568,.19524083,-.63332409,.067046784,1.4141470e-08,.0017309806,2.1311291e-08,.10868097,.09484002,.098498583,.18122284,19,423.78946,8052,+,+,-,-.053139806,19
++-,dsx,.40366283,.037699766,1.1099176,.20601188,-.48823404,.038454439,6.8937531e-13,4.2369811e-06,4.7053934e-15,.028925253,.00077472458,.025062945,.14124207,38,307.97369,11703,+,+,-,-.084571213,19
++-,braziliex,.44500828,.1061861,.51740307,.18923666,-.73259848,.075770982,.00019512878,.009978272,3.7392971e-11,.030174486,.049770974,.018160218,.84460902,34,407.58823,13858,+,+,-,-.28759021,19
++-,tokok,.14942375,.016638629,.5409202,.073838957,-.16627111,.017081367,1.8103445e-13,2.4173427e-10,6.9214260e-15,.062426597,.0062061683,.057766914,.040525544,75,497.56,37317,+,+,-,-.016847357,19
++-,lakebtc,.17206,.03003869,.33437449,.06724491,-.27776566,.046239831,.00071444444,.0016146287,.00053845311,.016912213,.62208098,.015759643,.11489473,8,981.375,7851,+,+,-,-.10570566,19
++-,poloniexfts,.30993387,.030223465,.4732165,.098734096,-.32554018,.029900078,1.7514804e-11,.000038861181,4.0475674e-12,.19016384,.60118967,.19165252,.013250533,32,331.875,10620,+,+,-,-.015606314,19
++-,upbit,.1835953,.026231708,.11561326,.05806664,-.20205534,.017150158,3.5214071e-11,.04779109,7.4562245e-25,.020365717,.1047744,.019651501,.19297183,208,834.36536,173548,+,+,-,-.018460035,19
++-,aax,.12205256,.028804814,.42895859,.12530191,-.16849346,.03154815,.000036444835,.00076926698,2.8308034e-07,.01369955,.01177592,.013142818,.41875568,177,353.56497,62581,+,+,-,-.046440907,19
++-,cryptomkt,.25109279,.063890494,.3861995,.15763214,-.21997155,.027768129,.0002013698,.01686489,3.0399652e-11,.0023105117,.0048921052,.0012175905,.47243354,69,399.50723,27566,+,+,-,.031121239,19
++-,deltaexchange,.025524016,.0042236736,.044448588,.014152092,-.0337536,.0047018183,3.0213208e-08,.0022529354,1.6187822e-10,.021960152,.099460736,.022261117,.047643524,95,328.97894,31253,+,+,-,-.0082295835,19
++-,bitubu,.055555735,.013562572,.10446015,.038279105,-.091725536,.01462401,.00015356109,.0087474836,8.2468304e-08,.057790812,.020743543,.051692799,.10676691,51,563.17645,28722,+,+,-,-.036169801,19
++-,bkex,.13085149,.018691629,.48072433,.076843739,-.16574331,.018190345,1.3611838e-11,1.1845650e-09,7.0679275e-18,.0095155854,.013359212,.0045685535,.62942976,342,552.00293,188785,+,+,-,-.034891814,19
++-,livecoin,.32502279,.092228502,.63302231,.17908223,-.59180421,.057158478,.00063531363,.00061280461,1.2087310e-17,.031987492,.003018515,.02522997,.84760696,104,219.66347,22845,+,+,-,-.26678142,19
